domain,domain_category,domain_is_control,date,start_time,end_time,retry,server_ip,server_netblock,server_asn,server_as_name,server_as_full_name,server_as_class,server_country,server_organization,received_error,received_tls_version,received_tls_cipher_suite,received_tls_cert,received_tls_cert_matches_domain,received_tls_cert_common_name,received_tls_cert_issuer,received_tls_cert_alternative_names,received_status,received_headers,received_body,is_known_blockpage,page_signature,outcome,matches_template,no_response_in_measurement_matches_template,controls_failed,stateful_block,measurement_id,source
cdn.sstatic.net,Hosting and Blogging Platforms,false,2023-03-05,2023-03-05 07:02:47.396798 UTC,2023-03-05 07:02:47.880336 UTC,0,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,b249573e44e05b75a6e09240ebc2d227,CP_Quack-http-2023-03-05-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-09-19,2022-09-19 06:00:18.753498 UTC,2022-09-19 06:00:19.123085 UTC,0,95.85.120.114,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,c46643904cee52af8647cf95cec781f5,CP_Quack-http-2022-09-19-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-09-19,2022-09-19 06:00:18.759198 UTC,2022-09-19 06:00:19.346281 UTC,0,95.85.124.61,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,69f29ebd240f5941a781b01f77655a5a,CP_Quack-http-2022-09-19-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-12-29,2022-12-29 07:03:17.939608 UTC,2022-12-29 07:03:18.676925 UTC,0,95.85.120.114,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,f5594bd385145ed48f521ee9c7921395,CP_Quack-http-2022-12-29-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-04-25,2022-04-25 05:59:26.139080 UTC,2022-04-25 05:59:26.542659 UTC,0,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,7f5db1f42d7950ffa7293c5622d1728c,CP_Quack-http-2022-04-25-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-05-12,2022-05-12 05:57:57.345211 UTC,2022-05-12 05:57:57.747420 UTC,0,95.85.120.114,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,da3a0e9c5cfc530eb1cbddd1ccaca01b,CP_Quack-http-2022-05-12-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-05-12,2022-05-12 05:57:47.309589 UTC,2022-05-12 05:57:47.706594 UTC,0,95.85.124.61,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,084d66164f8e57aea08b8132365e8326,CP_Quack-http-2022-05-12-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-10-30,2022-10-30 06:00:17.548158 UTC,2022-10-30 06:00:18.107035 UTC,0,95.85.124.61,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,117e050f920f5971a0982edb8c0ba658,CP_Quack-http-2022-10-30-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2023-04-12,2023-04-12 06:02:47.915817 UTC,2023-04-12 06:02:48.311981 UTC,0,216.250.9.185,216.250.8.0/21,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,,,,,,,,,[],,[],,,,expected/match,true,false,false,false,39194d3decf95552a7cef65c414ee2aa,CP_Quack-http-2023-04-12-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2023-04-12,2023-04-12 06:02:57.935290 UTC,2023-04-12 06:02:58.470734 UTC,0,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,91a1759bb818597085c8de3893d16d82,CP_Quack-http-2023-04-12-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-09-29,2022-09-29 05:59:17.897114 UTC,2022-09-29 05:59:18.478284 UTC,0,95.85.124.61,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,a0eb02414c5150af94bb88382b0f8817,CP_Quack-http-2022-09-29-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2023-08-02,2023-08-02 06:01:18.028178 UTC,2023-08-02 06:01:18.419491 UTC,0,216.250.9.185,216.250.8.0/21,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,,,,,,,,,[],,[],,,,expected/match,true,false,false,false,c3802e3088d95877b1b2642ce4c3df13,CP_Quack-http-2023-08-02-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2023-04-13,2023-04-13 06:01:07.162406 UTC,2023-04-13 06:01:07.660337 UTC,0,95.85.120.114,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,052f7ee679f0565f9b78b2d46444b649,CP_Quack-http-2023-04-13-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-11-27,2022-11-27 07:03:18.418240 UTC,2022-11-27 07:03:18.988052 UTC,0,95.85.124.61,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,274bf9ae146359669e546c0879b65713,CP_Quack-http-2022-11-27-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-07-14,2022-07-14 06:00:57.214251 UTC,2022-07-14 06:00:57.603353 UTC,0,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,73f268c753a958d3b82dc34c64592f3b,CP_Quack-http-2022-07-14-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2023-03-22,2023-03-22 06:02:47.428318 UTC,2023-03-22 06:02:47.934847 UTC,0,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,b04f7d4a82165489b1efd1112cb5f3d7,CP_Quack-http-2023-03-22-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2023-04-10,2023-04-10 06:01:17.458271 UTC,2023-04-10 06:01:17.932819 UTC,0,95.85.120.114,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,df738602c4555e028a8e7108aac74ab8,CP_Quack-http-2023-04-10-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2023-01-30,2023-01-30 07:02:07.898776 UTC,2023-01-30 07:02:08.375910 UTC,0,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,fe73c85e8fc05d0e875e30df1dc2e0df,CP_Quack-http-2023-01-30-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-05-30,2022-05-30 05:58:48.350284 UTC,2022-05-30 05:58:48.750362 UTC,0,95.85.120.114,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,e2eb80e9483a5892a7ff6a2e7d686436,CP_Quack-http-2022-05-30-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-05-30,2022-05-30 05:58:58.383436 UTC,2022-05-30 05:58:58.793161 UTC,0,95.85.124.61,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,280b16facee854589b6007e3b04b9e05,CP_Quack-http-2022-05-30-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-11-21,2022-11-21 07:02:57.635345 UTC,2022-11-21 07:02:58.020862 UTC,0,95.85.120.114,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,7018b5f95c7c5edda4ebb624a30cd132,CP_Quack-http-2022-11-21-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2023-05-01,2023-05-01 06:01:17.001451 UTC,2023-05-01 06:01:17.468044 UTC,0,95.85.120.114,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,5a9e06d10b3b5a38a8c6c75d6e147966,CP_Quack-http-2023-05-01-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2023-07-12,2023-07-12 06:01:17.778310 UTC,2023-07-12 06:01:18.179017 UTC,0,216.250.9.185,216.250.8.0/21,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,,,,,,,,,[],,[],,,,expected/match,true,false,false,false,124d77b076ef5e7e8177b274003d2c6a,CP_Quack-http-2023-07-12-01-01-02
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-07-07,2022-07-07 06:00:58.467322 UTC,2022-07-07 06:00:59.184331 UTC,0,95.85.124.61,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,3b6466849f22575fa197048d965f6713,CP_Quack-http-2022-07-07-01-01-01
