#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-bridge-transport.csv?start=2023-01-04&end=2023-04-04&transport=!%3COR%3E&transport=snowflake&transport=%3COR%3E
#
date,transport,users,frac
2023-03-03,snowflake,68215,100
2023-03-04,!<OR>,171286,90
2023-03-04,<OR>,3009,90
2023-03-04,snowflake,75717,90
2023-03-05,!<OR>,164571,98
2023-03-05,<OR>,2720,98
2023-03-05,snowflake,64530,98
2023-03-06,!<OR>,162618,100
2023-03-06,<OR>,2564,100
2023-03-06,snowflake,64477,100
2023-03-07,!<OR>,162999,101
2023-03-07,<OR>,2759,101
2023-03-07,snowflake,64872,101
2023-03-08,!<OR>,161211,101
2023-03-08,<OR>,2798,101
2023-03-08,snowflake,64763,101
2023-03-09,!<OR>,154326,102
2023-03-09,<OR>,2767,102
2023-03-09,snowflake,59224,102
2023-03-10,!<OR>,159493,101
2023-03-10,<OR>,2803,101
2023-03-10,snowflake,63196,101
2023-03-12,!<OR>,163145,96
2023-03-12,<OR>,2592,96
2023-03-12,snowflake,62550,96
2023-03-13,!<OR>,169958,94
2023-03-13,<OR>,2550,94
2023-03-13,snowflake,66858,94
2023-03-14,!<OR>,166766,93
2023-03-14,<OR>,2598,93
2023-03-14,snowflake,67124,93
2023-03-15,!<OR>,159039,96
2023-03-15,<OR>,2520,96
2023-03-15,snowflake,60735,96
2023-03-16,!<OR>,154885,97
2023-03-16,<OR>,2408,97
2023-03-16,snowflake,61508,97
2023-03-17,!<OR>,163389,95
2023-03-17,<OR>,2008,95
2023-03-17,snowflake,66715,95
2023-03-18,!<OR>,162697,92
2023-03-18,<OR>,2622,92
2023-03-18,snowflake,65481,92
2023-03-19,!<OR>,164608,96
2023-03-19,<OR>,2473,96
2023-03-19,snowflake,67360,96
2023-03-20,!<OR>,168662,95
2023-03-20,<OR>,2567,95
2023-03-20,snowflake,72084,95
2023-03-21,!<OR>,169651,95
2023-03-21,<OR>,2568,95
2023-03-21,snowflake,72853,95
2023-03-22,!<OR>,169081,96
2023-03-22,<OR>,2579,96
2023-03-22,snowflake,72750,96
2023-03-23,!<OR>,168672,95
2023-03-23,<OR>,2534,95
2023-03-23,snowflake,75089,95
2023-03-24,!<OR>,169749,94
2023-03-24,<OR>,2566,94
2023-03-24,snowflake,75077,94
2023-03-25,!<OR>,168925,94
2023-03-25,<OR>,2511,94
2023-03-25,snowflake,74267,94
2023-03-26,!<OR>,169977,95
2023-03-26,<OR>,2495,95
2023-03-26,snowflake,76952,95
2023-03-27,!<OR>,170262,96
2023-03-27,<OR>,2517,96
2023-03-27,snowflake,75724,96
2023-03-28,!<OR>,168596,96
2023-03-28,<OR>,2511,96
2023-03-28,snowflake,75317,96
2023-03-29,!<OR>,169540,87
2023-03-29,<OR>,2719,87
2023-03-29,snowflake,81178,87
2023-03-30,!<OR>,168462,96
2023-03-30,<OR>,2626,96
2023-03-30,snowflake,74301,96
2023-03-31,!<OR>,167558,92
2023-03-31,<OR>,2655,92
2023-03-31,snowflake,71501,92
2023-04-01,!<OR>,167883,94
2023-04-01,<OR>,2502,94
2023-04-01,snowflake,74057,94
2023-04-02,!<OR>,168081,93
2023-04-02,<OR>,2523,93
2023-04-02,snowflake,72056,93
