#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-bridge-transport.csv?start=2023-01-04&end=2023-10-15&transport=!%3COR%3E&transport=snowflake&transport=%3COR%3E
#
date,transport,users,frac
2023-02-14,snowflake,80702,102
2023-02-15,!<OR>,181361,100
2023-02-15,<OR>,3063,100
2023-02-15,snowflake,84555,100
2023-02-16,!<OR>,161034,75
2023-02-16,<OR>,4122,75
2023-02-16,snowflake,33132,75
2023-02-17,!<OR>,177485,96
2023-02-17,<OR>,3067,96
2023-02-17,snowflake,75219,96
2023-02-18,!<OR>,182915,100
2023-02-18,<OR>,2891,100
2023-02-18,snowflake,84452,100
2023-02-19,!<OR>,184870,100
2023-02-19,<OR>,3079,100
2023-02-19,snowflake,84682,100
2023-02-20,!<OR>,176759,99
2023-02-20,<OR>,3077,99
2023-02-20,snowflake,77724,99
2023-02-21,!<OR>,186911,94
2023-02-21,<OR>,3042,94
2023-02-21,snowflake,84685,94
2023-02-22,!<OR>,179160,96
2023-02-22,<OR>,3197,96
2023-02-22,snowflake,73268,96
2023-02-23,!<OR>,180400,94
2023-02-23,<OR>,3273,94
2023-02-23,snowflake,74185,94
2023-02-24,!<OR>,174994,95
2023-02-24,<OR>,3082,95
2023-02-24,snowflake,72734,95
2023-02-25,!<OR>,177191,97
2023-02-25,<OR>,2929,97
2023-02-25,snowflake,76085,97
2023-02-26,!<OR>,165965,100
2023-02-26,<OR>,4068,100
2023-02-26,snowflake,68990,100
2023-02-27,!<OR>,171580,97
2023-02-27,<OR>,2936,97
2023-02-27,snowflake,74724,97
2023-02-28,!<OR>,170309,99
2023-02-28,<OR>,2743,99
2023-02-28,snowflake,73024,99
2023-03-01,!<OR>,168204,99
2023-03-01,<OR>,2859,99
2023-03-01,snowflake,71765,99
2023-03-02,!<OR>,161631,99
2023-03-02,<OR>,2757,99
2023-03-02,snowflake,65034,99
2023-03-03,!<OR>,167059,100
2023-03-03,<OR>,2756,100
2023-03-03,snowflake,68215,100
2023-03-04,!<OR>,171286,90
2023-03-04,<OR>,3009,90
2023-03-04,snowflake,75717,90
2023-03-05,!<OR>,164571,98
2023-03-05,<OR>,2720,98
2023-03-05,snowflake,64530,98
2023-03-06,!<OR>,162618,100
2023-03-06,<OR>,2564,100
2023-03-06,snowflake,64477,100
2023-03-07,!<OR>,162999,101
2023-03-07,<OR>,2759,101
2023-03-07,snowflake,64872,101
2023-03-08,!<OR>,161211,101
2023-03-08,<OR>,2798,101
2023-03-08,snowflake,64763,101
2023-03-09,!<OR>,154326,102
2023-03-09,<OR>,2767,102
2023-03-09,snowflake,59224,102
2023-03-10,!<OR>,159493,101
2023-03-10,<OR>,2803,101
2023-03-10,snowflake,63196,101
2023-03-12,!<OR>,163145,96
2023-03-12,<OR>,2592,96
2023-03-12,snowflake,62550,96
2023-03-13,!<OR>,169958,94
2023-03-13,<OR>,2550,94
2023-03-13,snowflake,66858,94
2023-03-14,!<OR>,166766,93
2023-03-14,<OR>,2598,93
2023-03-14,snowflake,67124,93
2023-03-15,!<OR>,159039,96
2023-03-15,<OR>,2520,96
2023-03-15,snowflake,60735,96
2023-03-16,!<OR>,154885,97
2023-03-16,<OR>,2408,97
2023-03-16,snowflake,61508,97
2023-03-17,!<OR>,163389,95
2023-03-17,<OR>,2008,95
2023-03-17,snowflake,66715,95
2023-03-18,!<OR>,162697,92
2023-03-18,<OR>,2622,92
2023-03-18,snowflake,65481,92
2023-03-19,!<OR>,164608,96
2023-03-19,<OR>,2473,96
2023-03-19,snowflake,67360,96
2023-03-20,!<OR>,168662,95
2023-03-20,<OR>,2567,95
2023-03-20,snowflake,72084,95
2023-03-21,!<OR>,169651,95
2023-03-21,<OR>,2568,95
2023-03-21,snowflake,72853,95
2023-03-22,!<OR>,169081,96
2023-03-22,<OR>,2579,96
2023-03-22,snowflake,72750,96
2023-03-23,!<OR>,168672,95
2023-03-23,<OR>,2534,95
2023-03-23,snowflake,75089,95
2023-03-24,!<OR>,169749,94
2023-03-24,<OR>,2566,94
2023-03-24,snowflake,75077,94
2023-03-25,!<OR>,168925,94
2023-03-25,<OR>,2511,94
2023-03-25,snowflake,74267,94
2023-03-26,!<OR>,169977,95
2023-03-26,<OR>,2495,95
2023-03-26,snowflake,76952,95
2023-03-27,!<OR>,170262,96
2023-03-27,<OR>,2517,96
2023-03-27,snowflake,75724,96
2023-03-28,!<OR>,168589,96
2023-03-28,<OR>,2511,96
2023-03-28,snowflake,75314,96
2023-03-29,!<OR>,169431,87
2023-03-29,<OR>,2717,87
2023-03-29,snowflake,81126,87
2023-03-30,!<OR>,168058,96
2023-03-30,<OR>,2620,96
2023-03-30,snowflake,74123,96
2023-03-31,!<OR>,166402,93
2023-03-31,<OR>,2636,93
2023-03-31,snowflake,71008,93
2023-04-01,!<OR>,165733,95
2023-04-01,<OR>,2470,95
2023-04-01,snowflake,73109,95
2023-04-02,!<OR>,163719,96
2023-04-02,<OR>,2506,96
2023-04-02,snowflake,70177,96
2023-04-03,!<OR>,168133,96
2023-04-03,<OR>,2560,96
2023-04-03,snowflake,74702,96
2023-04-04,!<OR>,165902,97
2023-04-04,<OR>,2540,97
2023-04-04,snowflake,73583,97
2023-04-05,!<OR>,165842,95
2023-04-05,<OR>,2549,95
2023-04-05,snowflake,71593,95
2023-04-06,!<OR>,166688,96
2023-04-06,<OR>,2523,96
2023-04-06,snowflake,74581,96
2023-04-07,!<OR>,166135,94
2023-04-07,<OR>,2631,94
2023-04-07,snowflake,75455,94
2023-04-08,!<OR>,168523,93
2023-04-08,<OR>,2773,93
2023-04-08,snowflake,76870,93
2023-04-09,!<OR>,167810,96
2023-04-09,<OR>,2806,96
2023-04-09,snowflake,75926,96
2023-04-10,!<OR>,169502,95
2023-04-10,<OR>,2770,95
2023-04-10,snowflake,75097,95
2023-04-11,!<OR>,169556,91
2023-04-11,<OR>,2889,91
2023-04-11,snowflake,75168,91
2023-04-12,!<OR>,164070,95
2023-04-12,<OR>,3452,95
2023-04-12,snowflake,75153,95
2023-04-13,!<OR>,165856,96
2023-04-13,<OR>,3544,96
2023-04-13,snowflake,77775,96
2023-04-14,!<OR>,167744,96
2023-04-14,<OR>,4029,96
2023-04-14,snowflake,78308,96
2023-04-15,!<OR>,170797,96
2023-04-15,<OR>,3210,96
2023-04-15,snowflake,80177,96
2023-04-16,!<OR>,174116,96
2023-04-16,<OR>,2905,96
2023-04-16,snowflake,81820,96
2023-04-17,!<OR>,177504,96
2023-04-17,<OR>,2963,96
2023-04-17,snowflake,84866,96
2023-04-18,!<OR>,175819,95
2023-04-18,<OR>,3048,95
2023-04-18,snowflake,84300,95
2023-04-19,!<OR>,175135,96
2023-04-19,<OR>,2907,96
2023-04-19,snowflake,83817,96
2023-04-20,!<OR>,180979,87
2023-04-20,<OR>,3186,87
2023-04-20,snowflake,91845,87
2023-04-21,!<OR>,176434,95
2023-04-21,<OR>,2591,95
2023-04-21,snowflake,82700,95
2023-04-22,!<OR>,174081,96
2023-04-22,<OR>,3484,96
2023-04-22,snowflake,80790,96
2023-04-23,!<OR>,175898,95
2023-04-23,<OR>,3120,95
2023-04-23,snowflake,81488,95
2023-04-24,!<OR>,177423,96
2023-04-24,<OR>,2640,96
2023-04-24,snowflake,82657,96
2023-04-25,!<OR>,179096,96
2023-04-25,<OR>,2901,96
2023-04-25,snowflake,83808,96
2023-04-26,!<OR>,181123,92
2023-04-26,<OR>,3472,92
2023-04-26,snowflake,85877,92
2023-04-27,!<OR>,179652,95
2023-04-27,<OR>,3968,95
2023-04-27,snowflake,83324,95
2023-04-28,!<OR>,181967,84
2023-04-28,<OR>,4519,84
2023-04-28,snowflake,90407,84
2023-04-29,!<OR>,180383,95
2023-04-29,<OR>,3261,95
2023-04-29,snowflake,84943,95
2023-04-30,!<OR>,179618,96
2023-04-30,<OR>,2964,96
2023-04-30,snowflake,83685,96
2023-05-01,!<OR>,181633,96
2023-05-01,<OR>,3000,96
2023-05-01,snowflake,84348,96
2023-05-02,!<OR>,180288,96
2023-05-02,<OR>,3054,96
2023-05-02,snowflake,83697,96
2023-05-03,!<OR>,179226,96
2023-05-03,<OR>,3148,96
2023-05-03,snowflake,82094,96
2023-05-04,!<OR>,178271,96
2023-05-04,<OR>,3177,96
2023-05-04,snowflake,81385,96
2023-05-05,!<OR>,178653,96
2023-05-05,<OR>,3134,96
2023-05-05,snowflake,79448,96
2023-05-06,!<OR>,179638,95
2023-05-06,<OR>,3148,95
2023-05-06,snowflake,80499,95
2023-05-07,!<OR>,180101,96
2023-05-07,<OR>,3286,96
2023-05-07,snowflake,83002,96
2023-05-08,!<OR>,182771,94
2023-05-08,<OR>,3330,94
2023-05-08,snowflake,81758,94
2023-05-09,!<OR>,186443,94
2023-05-09,<OR>,3474,94
2023-05-09,snowflake,85458,94
2023-05-10,!<OR>,183994,95
2023-05-10,<OR>,3771,95
2023-05-10,snowflake,87062,95
2023-05-11,!<OR>,183217,97
2023-05-11,<OR>,4055,97
2023-05-11,snowflake,83794,97
2023-05-12,!<OR>,183340,96
2023-05-12,<OR>,3716,96
2023-05-12,snowflake,83646,96
2023-05-13,!<OR>,185170,95
2023-05-13,<OR>,3441,95
2023-05-13,snowflake,86084,95
2023-05-14,!<OR>,186286,96
2023-05-14,<OR>,3460,96
2023-05-14,snowflake,86778,96
2023-05-15,!<OR>,190451,92
2023-05-15,<OR>,3455,92
2023-05-15,snowflake,91657,92
2023-05-16,!<OR>,186899,96
2023-05-16,<OR>,3424,96
2023-05-16,snowflake,87328,96
2023-05-17,!<OR>,189805,87
2023-05-17,<OR>,3850,87
2023-05-17,snowflake,94255,87
2023-05-18,!<OR>,184511,95
2023-05-18,<OR>,3228,95
2023-05-18,snowflake,84843,95
2023-05-19,!<OR>,183027,96
2023-05-19,<OR>,3167,96
2023-05-19,snowflake,83563,96
2023-05-20,!<OR>,182417,97
2023-05-20,<OR>,2921,97
2023-05-20,snowflake,83837,97
2023-05-21,!<OR>,182161,92
2023-05-21,<OR>,2994,92
2023-05-21,snowflake,78354,92
2023-05-22,!<OR>,170527,82
2023-05-22,<OR>,3517,82
2023-05-22,snowflake,55175,82
2023-05-23,!<OR>,179970,95
2023-05-23,<OR>,3111,95
2023-05-23,snowflake,80943,95
2023-05-24,!<OR>,181083,97
2023-05-24,<OR>,3018,97
2023-05-24,snowflake,82658,97
2023-05-25,!<OR>,176914,96
2023-05-25,<OR>,3161,96
2023-05-25,snowflake,78718,96
2023-05-26,!<OR>,173267,93
2023-05-26,<OR>,3887,93
2023-05-26,snowflake,72645,93
2023-05-27,!<OR>,175717,95
2023-05-27,<OR>,3208,95
2023-05-27,snowflake,76656,95
2023-05-28,!<OR>,178967,98
2023-05-28,<OR>,3050,98
2023-05-28,snowflake,81830,98
2023-05-29,!<OR>,179273,98
2023-05-29,<OR>,2827,98
2023-05-29,snowflake,81166,98
2023-05-30,!<OR>,179932,97
2023-05-30,<OR>,2770,97
2023-05-30,snowflake,79915,97
2023-05-31,!<OR>,179411,95
2023-05-31,<OR>,2557,95
2023-05-31,snowflake,79566,95
2023-06-01,!<OR>,177331,94
2023-06-01,<OR>,2624,94
2023-06-01,snowflake,78979,94
2023-06-02,!<OR>,179915,82
2023-06-02,<OR>,3002,82
2023-06-02,snowflake,86041,82
2023-06-03,!<OR>,178369,97
2023-06-03,<OR>,2664,97
2023-06-03,snowflake,81131,97
2023-06-04,!<OR>,179275,96
2023-06-04,<OR>,2576,96
2023-06-04,snowflake,81359,96
2023-06-05,!<OR>,179806,95
2023-06-05,<OR>,2700,95
2023-06-05,snowflake,82839,95
2023-06-06,!<OR>,179769,97
2023-06-06,<OR>,2518,97
2023-06-06,snowflake,82252,97
2023-06-07,!<OR>,180250,96
2023-06-07,<OR>,2487,96
2023-06-07,snowflake,82254,96
2023-06-08,!<OR>,176323,96
2023-06-08,<OR>,2510,96
2023-06-08,snowflake,80738,96
2023-06-09,!<OR>,173707,97
2023-06-09,<OR>,2431,97
2023-06-09,snowflake,78054,97
2023-06-10,!<OR>,174106,96
2023-06-10,<OR>,2288,96
2023-06-10,snowflake,78687,96
2023-06-11,!<OR>,174329,94
2023-06-11,<OR>,2452,94
2023-06-11,snowflake,79152,94
2023-06-12,!<OR>,178064,96
2023-06-12,<OR>,2336,96
2023-06-12,snowflake,81437,96
2023-06-13,!<OR>,176966,96
2023-06-13,<OR>,2151,96
2023-06-13,snowflake,81563,96
2023-06-14,!<OR>,171544,95
2023-06-14,<OR>,2230,95
2023-06-14,snowflake,76172,95
2023-06-15,!<OR>,168659,92
2023-06-15,<OR>,2238,92
2023-06-15,snowflake,70502,92
2023-06-16,!<OR>,170415,94
2023-06-16,<OR>,2091,94
2023-06-16,snowflake,75222,94
2023-06-17,!<OR>,170369,95
2023-06-17,<OR>,2016,95
2023-06-17,snowflake,76914,95
2023-06-18,!<OR>,176395,87
2023-06-18,<OR>,2321,87
2023-06-18,snowflake,87174,87
2023-06-19,!<OR>,173095,95
2023-06-19,<OR>,2184,95
2023-06-19,snowflake,77592,95
2023-06-20,!<OR>,158761,104
2023-06-20,<OR>,2042,104
2023-06-20,snowflake,69869,104
2023-06-21,!<OR>,173171,96
2023-06-21,<OR>,2038,96
2023-06-21,snowflake,79270,96
2023-06-22,!<OR>,170733,96
2023-06-22,<OR>,2032,96
2023-06-22,snowflake,78472,96
2023-06-23,!<OR>,171748,96
2023-06-23,<OR>,1955,96
2023-06-23,snowflake,77593,96
2023-06-24,!<OR>,172880,96
2023-06-24,<OR>,2785,96
2023-06-24,snowflake,77223,96
2023-06-25,!<OR>,171222,95
2023-06-25,<OR>,2975,95
2023-06-25,snowflake,74325,95
2023-06-26,!<OR>,170553,95
2023-06-26,<OR>,2701,95
2023-06-26,snowflake,76976,95
2023-06-27,!<OR>,172239,97
2023-06-27,<OR>,2583,97
2023-06-27,snowflake,80374,97
2023-06-28,!<OR>,172568,97
2023-06-28,<OR>,2800,97
2023-06-28,snowflake,78571,97
2023-06-29,!<OR>,171109,93
2023-06-29,<OR>,3032,93
2023-06-29,snowflake,75302,93
2023-06-30,!<OR>,176406,85
2023-06-30,<OR>,2899,85
2023-06-30,snowflake,85114,85
2023-07-01,!<OR>,174090,97
2023-07-01,<OR>,2514,97
2023-07-01,snowflake,81458,97
2023-07-02,!<OR>,174825,98
2023-07-02,<OR>,2487,98
2023-07-02,snowflake,82157,98
2023-07-03,!<OR>,177203,98
2023-07-03,<OR>,2562,98
2023-07-03,snowflake,82866,98
2023-07-04,!<OR>,179951,97
2023-07-04,<OR>,2763,97
2023-07-04,snowflake,83021,97
2023-07-05,!<OR>,176668,97
2023-07-05,<OR>,2561,97
2023-07-05,snowflake,80558,97
2023-07-06,!<OR>,177537,93
2023-07-06,<OR>,2896,93
2023-07-06,snowflake,83406,93
2023-07-07,!<OR>,177034,97
2023-07-07,<OR>,2791,97
2023-07-07,snowflake,80133,97
2023-07-08,!<OR>,175659,98
2023-07-08,<OR>,2710,98
2023-07-08,snowflake,78663,98
2023-07-09,!<OR>,173448,98
2023-07-09,<OR>,2729,98
2023-07-09,snowflake,76579,98
2023-07-10,!<OR>,173312,97
2023-07-10,<OR>,2910,97
2023-07-10,snowflake,73768,97
2023-07-11,!<OR>,172701,98
2023-07-11,<OR>,2986,98
2023-07-11,snowflake,75428,98
2023-07-12,!<OR>,169537,99
2023-07-12,<OR>,2390,99
2023-07-12,snowflake,74063,99
2023-07-13,!<OR>,166972,98
2023-07-13,<OR>,2517,98
2023-07-13,snowflake,73726,98
2023-07-14,!<OR>,165755,97
2023-07-14,<OR>,2724,97
2023-07-14,snowflake,72420,97
2023-07-15,!<OR>,163951,95
2023-07-15,<OR>,3161,95
2023-07-15,snowflake,70896,95
2023-07-16,!<OR>,166149,95
2023-07-16,<OR>,3161,95
2023-07-16,snowflake,73508,95
2023-07-17,!<OR>,167951,97
2023-07-17,<OR>,2379,97
2023-07-17,snowflake,75658,97
2023-07-18,!<OR>,168030,98
2023-07-18,<OR>,2910,98
2023-07-18,snowflake,75663,98
2023-07-19,!<OR>,167540,98
2023-07-19,<OR>,2402,98
2023-07-19,snowflake,74723,98
2023-07-20,!<OR>,165216,99
2023-07-20,<OR>,2375,99
2023-07-20,snowflake,72871,99
2023-07-21,!<OR>,167616,99
2023-07-21,<OR>,2533,99
2023-07-21,snowflake,70730,99
2023-07-22,!<OR>,168508,98
2023-07-22,<OR>,2456,98
2023-07-22,snowflake,69450,98
2023-07-23,!<OR>,169811,97
2023-07-23,<OR>,2407,97
2023-07-23,snowflake,67204,97
2023-07-24,!<OR>,169093,97
2023-07-24,<OR>,2611,97
2023-07-24,snowflake,67332,97
2023-07-25,!<OR>,166130,95
2023-07-25,<OR>,2619,95
2023-07-25,snowflake,69568,95
2023-07-26,!<OR>,170363,88
2023-07-26,<OR>,2996,88
2023-07-26,snowflake,77494,88
2023-07-27,!<OR>,164831,97
2023-07-27,<OR>,2571,97
2023-07-27,snowflake,68945,97
2023-07-28,!<OR>,164399,94
2023-07-28,<OR>,2675,94
2023-07-28,snowflake,70067,94
2023-07-29,!<OR>,159831,101
2023-07-29,<OR>,2404,101
2023-07-29,snowflake,66924,101
2023-07-30,!<OR>,160852,99
2023-07-30,<OR>,2399,99
2023-07-30,snowflake,67787,99
2023-07-31,!<OR>,161274,101
2023-07-31,<OR>,2409,101
2023-07-31,snowflake,65604,101
2023-08-01,!<OR>,161263,102
2023-08-01,<OR>,2391,102
2023-08-01,snowflake,67717,102
2023-08-02,!<OR>,158312,101
2023-08-02,<OR>,2517,101
2023-08-02,snowflake,66330,101
2023-08-03,!<OR>,154380,102
2023-08-03,<OR>,2920,102
2023-08-03,snowflake,63445,102
2023-08-04,!<OR>,153480,104
2023-08-04,<OR>,2865,104
2023-08-04,snowflake,65549,104
2023-08-05,!<OR>,156870,102
2023-08-05,<OR>,3343,102
2023-08-05,snowflake,67767,102
2023-08-06,!<OR>,159192,101
2023-08-06,<OR>,3036,101
2023-08-06,snowflake,68553,101
2023-08-07,!<OR>,161056,100
2023-08-07,<OR>,2137,100
2023-08-07,snowflake,69369,100
2023-08-08,!<OR>,159508,100
2023-08-08,<OR>,2389,100
2023-08-08,snowflake,68575,100
2023-08-09,!<OR>,161099,98
2023-08-09,<OR>,2794,98
2023-08-09,snowflake,70452,98
2023-08-10,!<OR>,157911,100
2023-08-10,<OR>,2732,100
2023-08-10,snowflake,68022,100
2023-08-11,!<OR>,154829,100
2023-08-11,<OR>,2263,100
2023-08-11,snowflake,66707,100
2023-08-12,!<OR>,153508,100
2023-08-12,<OR>,2189,100
2023-08-12,snowflake,66288,100
2023-08-13,!<OR>,155224,97
2023-08-13,<OR>,2423,97
2023-08-13,snowflake,68757,97
2023-08-14,!<OR>,158363,101
2023-08-14,<OR>,2228,101
2023-08-14,snowflake,68064,101
2023-08-15,!<OR>,157099,101
2023-08-15,<OR>,2243,101
2023-08-15,snowflake,67067,101
2023-08-16,!<OR>,158692,101
2023-08-16,<OR>,2322,101
2023-08-16,snowflake,68258,101
2023-08-17,!<OR>,158252,100
2023-08-17,<OR>,2372,100
2023-08-17,snowflake,69157,100
2023-08-18,!<OR>,163959,84
2023-08-18,<OR>,2750,84
2023-08-18,snowflake,81292,84
2023-08-19,!<OR>,157023,98
2023-08-19,<OR>,2375,98
2023-08-19,snowflake,68060,98
2023-08-20,!<OR>,154752,98
2023-08-20,<OR>,2197,98
2023-08-20,snowflake,63542,98
2023-08-21,!<OR>,155328,99
2023-08-21,<OR>,2240,99
2023-08-21,snowflake,65117,99
2023-08-22,!<OR>,156137,99
2023-08-22,<OR>,2108,99
2023-08-22,snowflake,65128,99
2023-08-23,!<OR>,153938,98
2023-08-23,<OR>,1965,98
2023-08-23,snowflake,62815,98
2023-08-24,!<OR>,151771,100
2023-08-24,<OR>,2151,100
2023-08-24,snowflake,63519,100
2023-08-25,!<OR>,154644,99
2023-08-25,<OR>,2412,99
2023-08-25,snowflake,63532,99
2023-08-26,!<OR>,150910,96
2023-08-26,<OR>,2624,96
2023-08-26,snowflake,59491,96
2023-08-27,!<OR>,151318,93
2023-08-27,<OR>,2790,93
2023-08-27,snowflake,56638,93
2023-08-28,!<OR>,149066,100
2023-08-28,<OR>,3415,100
2023-08-28,snowflake,59989,100
2023-08-29,!<OR>,149677,99
2023-08-29,<OR>,3435,99
2023-08-29,snowflake,59476,99
2023-08-30,!<OR>,158591,81
2023-08-30,<OR>,4310,81
2023-08-30,snowflake,71965,81
2023-08-31,!<OR>,143740,97
2023-08-31,<OR>,8316,97
2023-08-31,snowflake,59806,97
2023-09-01,!<OR>,143244,92
2023-09-01,<OR>,10860,92
2023-09-01,snowflake,59426,92
2023-09-02,!<OR>,141037,96
2023-09-02,<OR>,10110,96
2023-09-02,snowflake,58923,96
2023-09-03,!<OR>,145738,93
2023-09-03,<OR>,10590,93
2023-09-03,snowflake,63779,93
2023-09-04,!<OR>,145753,94
2023-09-04,<OR>,10901,94
2023-09-04,snowflake,62849,94
2023-09-05,!<OR>,142031,88
2023-09-05,<OR>,12442,88
2023-09-05,snowflake,68977,88
2023-09-06,!<OR>,135631,99
2023-09-06,<OR>,11223,99
2023-09-06,snowflake,59265,99
2023-09-07,!<OR>,132097,102
2023-09-07,<OR>,11196,102
2023-09-07,snowflake,57281,102
2023-09-08,!<OR>,133005,101
2023-09-08,<OR>,12152,101
2023-09-08,snowflake,56595,101
2023-09-09,!<OR>,129709,101
2023-09-09,<OR>,12646,101
2023-09-09,snowflake,54998,101
2023-09-10,!<OR>,131318,101
2023-09-10,<OR>,12386,101
2023-09-10,snowflake,55877,101
2023-09-11,!<OR>,128308,100
2023-09-11,<OR>,12420,100
2023-09-11,snowflake,52899,100
2023-09-12,!<OR>,128943,99
2023-09-12,<OR>,12279,99
2023-09-12,snowflake,54122,99
2023-09-13,!<OR>,123059,101
2023-09-13,<OR>,12447,101
2023-09-13,snowflake,50136,101
2023-09-14,!<OR>,123413,97
2023-09-14,<OR>,12746,97
2023-09-14,snowflake,52857,97
2023-09-15,!<OR>,125809,100
2023-09-15,<OR>,12269,100
2023-09-15,snowflake,51989,100
2023-09-16,!<OR>,127909,99
2023-09-16,<OR>,12780,99
2023-09-16,snowflake,53678,99
2023-09-17,!<OR>,166940,35
2023-09-17,<OR>,13803,35
2023-09-17,snowflake,92012,35
2023-09-25,!<OR>,103510,98
2023-09-25,<OR>,18241,98
2023-09-25,snowflake,29501,98
2023-09-26,!<OR>,100814,101
2023-09-26,<OR>,19485,101
2023-09-26,snowflake,30283,101
2023-09-27,!<OR>,99748,101
2023-09-27,<OR>,20181,101
2023-09-27,snowflake,30633,101
2023-09-28,!<OR>,98102,101
2023-09-28,<OR>,20239,101
2023-09-28,snowflake,30794,101
2023-09-29,!<OR>,97610,101
2023-09-29,<OR>,20642,101
2023-09-29,snowflake,30373,101
2023-09-30,!<OR>,94875,101
2023-09-30,<OR>,19370,101
2023-09-30,snowflake,30137,101
2023-10-01,!<OR>,94270,100
2023-10-01,<OR>,18551,100
2023-10-01,snowflake,31869,100
2023-10-02,!<OR>,96054,100
2023-10-02,<OR>,20544,100
2023-10-02,snowflake,31207,100
2023-10-03,!<OR>,90880,94
2023-10-03,<OR>,20957,94
2023-10-03,snowflake,22271,94
2023-10-04,!<OR>,77148,84
2023-10-04,<OR>,37140,84
2023-10-04,snowflake,13710,84
2023-10-05,!<OR>,80024,103
2023-10-05,<OR>,35966,103
2023-10-05,snowflake,16282,103
2023-10-06,!<OR>,78625,89
2023-10-06,<OR>,40862,89
2023-10-06,snowflake,17829,89
2023-10-07,!<OR>,82875,101
2023-10-07,<OR>,36778,101
2023-10-07,snowflake,16845,101
2023-10-08,!<OR>,82678,96
2023-10-08,<OR>,38318,96
2023-10-08,snowflake,17937,96
2023-10-09,!<OR>,83385,101
2023-10-09,<OR>,36309,101
2023-10-09,snowflake,17476,101
2023-10-10,!<OR>,83516,103
2023-10-10,<OR>,36204,103
2023-10-10,snowflake,17291,103
