date,fingerprint,transport,users,num_instances,coverage
2017-02-11,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.20,1.00,1.00
2017-02-11,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.20,1.00,1.00
2017-02-12,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.18,1.00,0.91
2017-02-12,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.22,1.00,1.00
2017-02-13,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.40,1.00,1.00
2017-02-14,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.40,1.00,1.00
2017-02-15,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.33,1.00,0.91
2017-02-16,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.07,1.00,0.59
2017-02-17,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.40,1.00,1.00
2017-02-18,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.33,1.00,1.00
2017-02-19,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.07,1.00,1.00
2017-02-20,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.40,1.00,1.00
2017-02-21,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.40,1.00,1.00
2017-02-22,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.40,1.00,1.00
2017-02-23,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.40,1.00,1.00
2017-02-24,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.40,1.00,1.00
2017-02-25,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.33,1.00,1.00
2017-02-26,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.07,1.00,1.00
2017-02-27,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.40,1.00,1.00
2017-02-28,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.33,1.00,0.91
2017-03-01,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.07,1.00,0.59
2017-03-02,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.33,1.00,0.91
2017-03-03,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.07,1.00,0.59
2017-03-04,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,snowflake,0.33,1.00,0.91
2017-03-23,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.00,1.00,0.59
2017-03-24,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.00,1.00,0.91
2017-04-21,FC11B0E77DD61D7B2DD6E674516CCB76819DF898,snowflake,0.31,1.00,0.77
2017-04-22,FC11B0E77DD61D7B2DD6E674516CCB76819DF898,snowflake,0.09,1.00,0.23
2017-05-04,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.08,1.00,0.07
2017-05-05,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.14,1.00,1.00
2017-05-06,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-05-07,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-05-08,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-05-09,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.46,1.00,1.00
2017-05-10,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.14,1.00,1.00
2017-05-11,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.37,1.00,0.97
2017-05-13,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.03,1.00,0.53
2017-05-14,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-05-15,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-05-16,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-05-17,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.46,1.00,1.00
2017-05-18,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.14,1.00,1.00
2017-05-19,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-05-20,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-05-21,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-05-22,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-05-23,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.37,1.00,0.97
2017-05-24,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.03,1.00,0.53
2017-05-25,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-05-26,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-05-27,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-05-28,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-05-29,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.46,1.00,1.00
2017-05-30,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.20,1.00,1.00
2017-05-31,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.20,1.00,1.00
2017-06-01,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.14,1.00,1.00
2017-06-02,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-06-03,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-06-04,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-06-05,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-06-05,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.26,1.00,0.82
2017-06-06,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
