date,transport,users,frac
2017-10-12,snowflake,1.20,100.00
2017-10-13,snowflake,1.43,100.00
2017-10-14,snowflake,1.94,100.00
2017-10-15,snowflake,2.65,100.00
2017-10-16,snowflake,1.85,100.00
2017-10-17,snowflake,0.98,100.00
2017-10-18,snowflake,1.55,100.00
2017-10-19,snowflake,2.42,100.00
2017-10-20,snowflake,0.82,100.00
2017-10-21,snowflake,0.72,100.00
2017-10-22,snowflake,2.29,100.00
2017-10-23,snowflake,2.22,100.00
2017-10-24,snowflake,1.78,100.00
2017-10-25,snowflake,2.80,100.00
2017-10-26,snowflake,2.22,100.00
2017-10-27,snowflake,1.49,100.00
2017-10-28,snowflake,1.71,100.00
2017-10-29,snowflake,1.20,100.00
2017-10-30,snowflake,1.20,100.00
2017-10-31,snowflake,0.91,100.00
2017-11-01,snowflake,0.69,100.00
2017-11-02,snowflake,1.20,100.00
2017-11-03,snowflake,1.20,100.00
2017-11-04,snowflake,1.20,100.00
2017-11-05,snowflake,1.20,100.00
2017-11-06,snowflake,1.20,100.00
2017-11-07,snowflake,1.49,100.00
2017-11-08,snowflake,2.00,100.00
2017-11-09,snowflake,2.00,100.00
2017-11-10,snowflake,2.00,100.00
2017-11-11,snowflake,1.71,100.00
2017-11-12,snowflake,1.49,100.00
2017-11-13,snowflake,2.00,100.00
2017-11-14,snowflake,1.71,100.00
2017-11-15,snowflake,1.49,100.00
2017-11-16,snowflake,2.00,100.00
2017-11-17,snowflake,1.71,100.00
2017-11-18,snowflake,1.49,100.00
2017-11-19,snowflake,1.71,100.00
2017-11-20,snowflake,1.78,100.00
2017-11-21,snowflake,3.09,100.00
2017-11-22,snowflake,3.31,100.00
2017-11-23,snowflake,3.09,100.00
2017-11-24,snowflake,3.60,100.00
2017-11-25,snowflake,3.60,100.00
2017-11-26,snowflake,3.60,100.00
2017-11-27,snowflake,3.89,100.00
2017-11-28,snowflake,3.82,100.00
2017-11-29,snowflake,2.80,100.00
2017-11-30,snowflake,3.09,100.00
2017-12-01,snowflake,3.02,100.00
2017-12-02,snowflake,3.16,100.00
2017-12-03,snowflake,5.20,100.00
2017-12-04,snowflake,5.20,100.00
2017-12-05,snowflake,5.78,100.00
2017-12-06,snowflake,5.64,100.00
2017-12-07,snowflake,2.30,100.00
2017-12-10,snowflake,1.59,100.00
2017-12-11,snowflake,4.11,100.00
2017-12-12,snowflake,4.76,100.00
2017-12-13,snowflake,5.93,100.00
2017-12-14,snowflake,4.11,100.00
2017-12-15,snowflake,3.89,100.00
2017-12-16,snowflake,3.82,100.00
2017-12-17,snowflake,2.80,100.00
2017-12-18,snowflake,3.38,100.00
2017-12-19,snowflake,4.40,100.00
2017-12-20,snowflake,4.40,100.00
2017-12-21,snowflake,3.82,100.00
2017-12-22,snowflake,2.51,100.00
2017-12-23,snowflake,1.71,100.00
2017-12-24,snowflake,1.78,100.00
2017-12-25,snowflake,2.51,100.00
2017-12-26,snowflake,2.29,100.00
2017-12-27,snowflake,2.51,100.00
2017-12-28,snowflake,2.29,100.00
2017-12-29,snowflake,2.51,100.00
2017-12-30,snowflake,2.00,100.00
2017-12-31,snowflake,2.29,100.00
2018-01-01,snowflake,2.80,100.00
2018-01-02,snowflake,2.80,100.00
2018-01-03,snowflake,2.51,100.00
2018-01-04,snowflake,2.00,100.00
2018-01-05,snowflake,2.58,100.00
2018-01-06,snowflake,4.18,100.00
2018-01-07,snowflake,4.91,100.00
2018-01-08,snowflake,3.82,100.00
2018-01-09,snowflake,2.51,100.00
2018-01-10,snowflake,1.28,100.00
2018-01-11,snowflake,0.81,100.00
2018-01-12,snowflake,2.65,100.00
2018-01-13,snowflake,3.60,100.00
2018-01-14,snowflake,3.60,100.00
2018-01-15,<OR>,0.20,100.00
2018-01-15,snowflake,2.75,100.00
2018-01-16,<OR>,0.30,100.00
2018-01-16,snowflake,2.67,100.00
2018-01-17,snowflake,3.75,100.00
2018-01-18,snowflake,3.12,100.00
2018-01-19,snowflake,3.92,100.00
2018-01-20,snowflake,4.08,100.00
2018-01-21,snowflake,3.28,100.00
2018-01-22,snowflake,2.80,100.00
2018-01-23,snowflake,3.45,100.00
2018-01-24,snowflake,3.75,100.00
2018-01-25,snowflake,2.48,100.00
2018-01-26,snowflake,2.00,100.00
2018-01-27,snowflake,2.32,100.00
2018-01-28,snowflake,3.12,100.00
2018-01-29,snowflake,2.95,100.00
2018-01-30,snowflake,2.32,100.00
2018-01-31,snowflake,2.80,100.00
2018-02-01,snowflake,2.15,100.00
2018-02-02,snowflake,2.17,100.00
2018-02-03,snowflake,3.60,100.00
2018-02-04,snowflake,3.92,100.00
2018-02-05,snowflake,4.08,100.00
2018-02-06,snowflake,4.25,100.00
2018-02-07,snowflake,4.88,100.00
2018-02-08,snowflake,4.40,100.00
2018-02-09,snowflake,3.75,100.00
2018-02-10,snowflake,3.12,100.00
2018-02-11,snowflake,3.28,100.00
2018-02-12,snowflake,2.48,100.00
2018-02-13,snowflake,2.00,100.00
2018-02-14,snowflake,2.65,100.00
2018-02-15,snowflake,4.25,100.00
2018-02-16,snowflake,4.88,100.00
2018-02-17,snowflake,4.40,100.00
2018-02-18,snowflake,4.72,100.00
2018-02-19,snowflake,4.88,100.00
2018-02-20,snowflake,5.05,100.00
2018-02-21,snowflake,5.35,100.00
2018-02-22,snowflake,4.40,100.00
2018-02-23,snowflake,4.72,100.00
2018-02-24,snowflake,3.90,100.00
2018-02-25,snowflake,4.55,100.00
2018-02-26,snowflake,5.05,100.00
2018-02-27,snowflake,4.55,100.00
2018-02-28,snowflake,5.05,100.00
2018-03-01,snowflake,4.55,100.00
2018-03-02,snowflake,5.20,100.00
2018-03-03,snowflake,4.91,100.00
2018-03-04,snowflake,4.04,100.00
2018-03-05,snowflake,4.90,100.00
2018-03-06,snowflake,4.15,100.00
2018-03-07,snowflake,7.42,100.00
2018-03-08,snowflake,6.85,100.00
2018-03-09,snowflake,6.80,100.00
2018-03-10,snowflake,6.05,100.00
2018-03-11,snowflake,4.49,100.00
2018-03-12,snowflake,0.85,100.00
2018-03-13,snowflake,5.84,100.00
2018-03-14,snowflake,4.48,100.00
2018-03-15,snowflake,5.36,100.00
2018-03-16,snowflake,6.56,100.00
2018-03-17,snowflake,4.40,100.00
2018-03-18,snowflake,4.32,100.00
2018-03-19,snowflake,3.68,100.00
2018-03-20,snowflake,4.56,100.00
2018-03-21,snowflake,5.92,100.00
2018-03-22,snowflake,5.20,100.00
